id_1,HYBAS_ID,Year,Ephemeral,Seasonal,Permanent
490,2120050440,1984,0.0432,0,0.0027
491,2121099750,1984,0.054,0.0261,0.2547
492,2120050450,1984,1.971,0.2808,0.7173
493,2120050460,1984,0.1593,0.0018,0.0009
494,2120334950,1984,0.0297,0.0045,0.0063
495,2120334850,1984,0.0639,0.0162,0.1962
496,2120336640,1984,0.4563,0.3591,2.4651
497,2120336650,1984,0.0639,0.1431,0.972
498,2120334490,1984,0.0765,0.0099,0.5706
499,2120334410,1984,0.6714,0.0765,0.3123
500,2120332890,1984,0.0585,0.0342,0.2916
501,2120332760,1984,0.0018,0,0
502,2120332610,1984,0.0567,0.0063,0.0198
503,2120332600,1984,0,0,0
504,2121095970,1984,0.0081,0,0.0018
505,2121096990,1984,0.099,0.1503,1.0494
506,2121095850,1984,0.4716,0.0243,1.1151
507,2121095130,1984,0.0126,0.0081,0.0171
508,2120050470,1984,0.2493,0.1413,0.2277
509,2120050480,1984,0.0189,0.0027,0.0027
510,2120332110,1984,0.063,0.0027,0.0036
511,2120332020,1984,0.1575,0.1323,0.5868
512,2120050490,1984,2.7936,0.1926,0.0369
513,2120050500,1984,0.0711,0.0072,0.0522
514,2120050510,1984,0.2439,0.0819,0.1593
515,2120326980,1984,0.0054,0,0
516,2120327140,1984,0,0,0.0009
517,2120326330,1984,0.0018,0,0
518,2120326240,1984,0.0432,0,0
519,2120323760,1984,0,0,0.0018
520,2120323750,1984,0.0117,0.0099,0.0351
521,2120050520,1984,0.7956,0.0027,0.0126
522,2120050530,1984,3.3399,0.2835,0.9306
523,2120050540,1984,0.0648,0.162,0.5526
524,2120050550,1984,0,0,0
525,2120050560,1984,0.0009,0,0
526,2121092680,1984,0.018,0.0072,0.0315
527,2120050570,1984,0.8433,0.0387,0.1782
528,2120050580,1984,0.0558,0.1368,1.4733
529,2121092410,1984,0.0828,0.072,1.1349
530,2120050590,1984,0.2817,0.171,4.2021
531,2120050600,1984,0.0216,0.0018,0.243
532,2120050610,1984,0.126,0.0423,1.1664
533,2120050620,1984,0.0207,0.0324,0.7515
534,2120050630,1984,0.0072,0.0099,0.045
535,2120050640,1984,0.045,0.2376,4.5243
536,2120050650,1984,0.1188,0.0234,0.0567
537,2120050660,1984,0.2025,0.0396,1.8189
538,2120050670,1984,0.1827,0.1359,0.0963
539,2120050680,1984,0.0675,0.0477,0.1305
540,2120317680,1984,0.1701,0.0477,6.3963
541,2120317820,1984,0.1062,0.0171,3.3543
542,2121090620,1984,0.1782,0.1017,7.713
543,2121090630,1984,0.4545,0.0648,3.1005
544,2120050690,1984,0.0351,0.1143,0.0954
545,2120050700,1984,0.0387,0.0081,0.018
546,2120050710,1984,0.1467,0.0216,0.0621
547,2120050720,1984,0.0225,0.0018,0
548,2120050730,1984,0.072,0.0063,0
549,2120050740,1984,0.3159,0.0018,0.0171
550,2120050750,1984,0.0027,0.0135,0.0036
551,2120050760,1984,0.2196,0.2331,0.0639
552,2120050770,1984,0.2025,0.0009,0.0045
553,2120313480,1984,0.0099,0,0
554,2120313640,1984,0.0162,0,0
555,2120313730,1984,0.0333,0,0
556,2120313570,1984,0.1323,0.0036,0.0009
557,2120313300,1984,0.0612,0.0153,0.0729
558,2120313420,1984,0.0252,0.0045,0
559,2121089540,1984,0,0,0.0063
560,2121088020,1984,0.0054,0.0045,0
561,2121089680,1984,0.0216,0.0063,0.0432
562,2120317590,1984,0.0063,0,0
563,2120317600,1984,0.0036,0.0009,0
564,2120318400,1984,0,0.0117,0.0018
565,2120318500,1984,0.4455,0,0
566,2120317940,1984,0.1224,0.0126,3.1383
567,2120317980,1984,0.5193,0.0036,0.4995
568,2121091090,1984,0.0369,0.0243,0.0297
569,2121091370,1984,0,0,0
570,2120050780,1984,0,0.0108,0
571,2120050790,1984,0.2646,0.1638,0.1332
572,2120050800,1984,0.2367,0.0018,0.0036
573,2120312160,1984,0.0153,0,0
574,2120312090,1984,0.1899,0.0018,0.0414
575,2120310970,1984,0,0,0
576,2120310860,1984,0,0,0
577,2121086670,1984,0,0.0018,0.0018
578,2121086410,1984,0,0,0
579,2121086330,1984,0.0027,0.0045,0.0513
580,2120050810,1984,0.0135,0.0036,0.0081
581,2120050820,1984,0,0,0
582,2120050830,1984,0.0036,0,0.0018
583,2120311290,1984,0.1071,0.0405,0.1026
584,2120311200,1984,0,0,0
585,2120309840,1984,0.0009,0.0045,0
586,2120309760,1984,0.0216,0,0
587,2121085740,1984,0.0189,0.0225,0.3465
588,2120050840,1984,0.153,0.0018,0.0009
